sensor_index,date_created,private,name,icon,location_type,model,hardware,latitude,longitude
104548,1618948047,0,Twin Creek,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,43.721046,-111.22635
104554,1618948082,0,Blue Ridge,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,47.702774,-122.38314
104558,1618954744,0,Basque Central,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.29344,-120.12217
104560,1618954750,0,Emigrant,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,45.367214,-110.71468
104562,1618954756,0,W4GGH,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,42.504818,-122.75159
104564,1618954761,0,Upper West Side Santa Cruz,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,36.984447,-122.04547
104566,1618954767,0,"Davis Lake, WA",0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,48.23191,-117.29262
104568,1618954774,0,Highland Park,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,47.594856,-117.39988
104572,1618954795,0,diamond Lake Resort,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,43.177025,-122.13792
104574,1618954803,0,Popperton - Dry Creek,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,40.777283,-111.83989
104576,1618954908,0,Tamara Lane,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.497295,-118.78368
104580,1618954933,0,TD Rhineland,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.34686,-120.25404
104582,1618954940,0,Shenandoah West Subdivision,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,43.642525,-116.30467
104592,1618954969,0,Carnegie Road/Mason Ct.,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.83637,-121.61541
104594,1618954974,0,Bean Mountain Ln,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,40.076042,-105.200714
104600,1618955009,0,Moosecamp,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,40.856438,-121.84816
104602,1618955012,0,Newcastle Rd at Rattlesnake rd,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.83297,-121.10397
104604,1618955030,0,Fifteen Corners,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,46.78051,-113.99667
104610,1618955072,0,MV Clean Air Ambassador@Palomino Bluff,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,48.46876,-120.19208
104612,1618955081,0,5th floor,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.799057,-122.42443
104616,1618955098,0,Ranch Road #1,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,42.169533,-122.67547
104618,1618955105,0,Medical Lake,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,47.586334,-117.66879
104620,1618955111,0,640 twisp river rd,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,48.38071,-120.25163
104622,1618955118,0,PROSSER LAKE HEIGHTS,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.349434,-120.181076
104624,1618955180,0,South Park Hill,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.744926,-104.92115
104626,1618955190,0,Frog Consulate,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.168236,-121.04986
104628,1618955199,0,McKinney Shores,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.074406,-120.150246
104632,1618955314,0,Burns Ranch at Quail Ridge,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,40.54845,-105.13536
104636,1619027737,0,"IHST, Inc.",0,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,32.97031,-96.849625
104652,1619042367,0,253 Military E,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.053185,-122.15154
104658,1619042870,0,Conecta Preschool,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.352085,-120.23165
104664,1619043109,0,Big Twin Lake Campground,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,48.44769,-120.19813
104666,1619043111,0,Hunter Road,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,45.49511,-118.0583
104670,1619043151,0,JMC Lakeside,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.91152,-121.32558
104672,1619043173,0,Chiquita Ave,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.396976,-122.089806
104674,1619043352,0,Lucky Jim Bench,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,48.55463,-120.33625
104680,1619043831,0,Westside Lighthouse,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,36.954346,-122.032135
104688,1619044167,0,Via Lucia,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,32.827785,-117.24732
104690,1619044173,0,Casper College,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,42.831696,-106.323784
104692,1619044203,0,Casa Manana,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.071507,-122.80678
104694,1619044207,0,Colby,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.394356,-101.05129
104696,1619044214,0,1000 American Way. Windsor,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.526943,-122.79944
104698,1619044217,0,Beanhead Farm,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,48.54721,-123.08741
104700,1619044224,0,Dean Ct,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.996822,-122.27766
104704,1619044250,0,Above Lovric's  KWAANACO5,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,48.51086,-122.64097
104706,1619044261,0,Tahoe Pines,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.10635,-120.17318
104708,1619044268,0,Roan,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.428577,-122.28437
104710,1619044269,0,Ludlow Cove,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,47.918587,-122.70248
104712,1619044278,0,Crown,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,41.396675,-87.364365
